DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Beverages,Juices,148216,https://www.walmart.com/ip/DanActive-Probiotic-Dailies-Blueberry-Strawberry-Dairy-Drink-Variety-Pack-3-1-Oz-8-Count/15570885?fulfillmentIntent=Pickup,"DanActive Probiotic Dailies Blueberry & Strawberry Dairy Drink, Variety Pack, 3.1 Oz., 8 Count",Dannon,4.86,3.1,16338261,41,C,4,16,6,7
Beverages,Juices,144922,https://www.walmart.com/ip/Simply-Light-Orange-Pulp-Free-Orange-Juice-Non-GMO-52-fl-oz/965697259?fulfillmentIntent=Pickup,"Simply Light Orange Pulp Free Orange Juice, Non-GMO, 52 fl oz",simply...,3.98,52,16288101,41,C,4,2,2,8
Beverages,Juices,147820,https://www.walmart.com/ip/Welch-s-Orange-Pineapple-Apple-Juice-Cocktail-64-fl-oz-Bottle/19476991?fulfillmentIntent=Pickup,Welch's Orange Pineapple Apple Juice Cocktail 64 fl. oz. Bottle,Welch's,2.88,64,16334811,41,C,4,20,10,7
Beverages,Juices,145678,https://www.walmart.com/ip/AriZona-Fruit-Punch-Juice-Cocktail-128-Fl-Oz/44981917?fulfillmentIntent=Pickup,"AriZona Fruit Punch Juice Cocktail, 128 Fl. Oz.",AriZona,3.48,128,16290949,41,C,4,18,8,7
Beverages,Juices,145068,https://www.walmart.com/ip/Humm-Kombucha-Tea-Blueberry-Mint-Probiotic-Organic-12oz-Can/646814623?fulfillmentIntent=Pickup,"Humm Kombucha Tea, Blueberry Mint, Probiotic, Organic, 12oz Can",Humm Kombucha,2.48,12,16288534,41,C,6,8,8,7
Beverages,Juices,149388,https://www.walmart.com/ip/Great-Value-Lemon-100-Juice-32-fl-oz/12512024?fulfillmentIntent=Pickup,"Great Value Lemon 100% Juice, 32 fl oz",Great Value,2.63,32,16357988,41,C,6,8,8,8
Beverages,Juices,147864,https://www.walmart.com/ip/Looza-Juice-Drink-Mango-33-8-FL-OZ/10412605?fulfillmentIntent=Pickup,"Looza Juice Drink Mango, 33.8 FL OZ",Looza,4.77,33.8,16334908,41,C,6,4,4,7
Beverages,Juices,142480,https://www.walmart.com/ip/Great-Value-Country-Style-100-Orange-Juice-64-fl-oz/10315218?fulfillmentIntent=Pickup,"Great Value Country Style 100% Orange Juice, 64 fl oz",Great Value,2.68,64,16249403,41,C,4,20,10,7
Beverages,Juices,147365,https://www.walmart.com/ip/Mott-s-100-Original-Apple-Juice-64-fl-oz-bottle/10535469?fulfillmentIntent=Pickup,"Mott's 100% Original Apple Juice, 64 fl oz bottle",Mott's,3.44,64,16328079,41,C,5,5,5,7
Beverages,Juices,141690,https://www.walmart.com/ip/Capri-Sun-Fruit-Punch-Strawberry-Kiwi-and-Pacific-Cooler-Flavored-Juice-Drink-Blend-Variety-Pack-30-ct-Box-6-fl-oz-Pouches/110946086?fulfillmentIntent=Pickup,"Capri Sun Fruit Punch, Strawberry Kiwi and Pacific Cooler Flavored Juice Drink Blend Variety Pack, 30 ct Box, 6 fl oz Pouches",Capri Sun,8.68,6,16231642,41,C,6,10,10,7
Beverages,Juices,142920,https://www.walmart.com/ip/Great-Value-Grape-100-Juice-96-fl-oz/22210909?fulfillmentIntent=Pickup,"Great Value Grape 100% Juice, 96 fl oz",Great Value,3.98,96,16252498,41,C,6,20,10,7
Beverages,Juices,141032,https://www.walmart.com/ip/Juicy-Juice-100-Juice-Apple-Raspberry-64-oz/47133382?fulfillmentIntent=Pickup,"Juicy Juice 100% Juice Apple Raspberry, 64 oz",Juicy Juice,3.62,64,16218770,41,C,2,12,2,7
Beverages,Juices,146917,https://www.walmart.com/ip/Minute-Maid-Strawberry-Lemonade-Fruit-Drink-59-fl-oz/45039253?fulfillmentIntent=Pickup,"Minute Maid Strawberry Lemonade, Fruit Drink, 59 fl oz",Minute Maid,1.68,59,16326813,41,C,1,17,7,7
Beverages,Juices,139537,https://www.walmart.com/ip/good2grow-6oz-100-Fruit-Punch-Juice-Single-Serve-Character-Tops-Vary/139945817?fulfillmentIntent=Pickup,good2grow 6oz 100% Fruit Punch Juice Single Serve (Character Tops Vary),Royal,2.44,6,16191488,41,C,1,17,7,7
Beverages,Juices,140660,https://www.walmart.com/ip/V8-Low-Sodium-Original-100-Vegetable-Juice-5-5-FL-OZ-Can-Pack-of-8/107865901?fulfillmentIntent=Pickup,"V8 Low Sodium Original 100% Vegetable Juice, 5.5 FL OZ Can (Pack of 8)",V8,5.14,5.5,16216121,41,C,2,20,10,7
Beverages,Juices,149583,https://www.walmart.com/ip/Kool-Aid-Bursts-Grape-Artificially-Flavored-Soft-Drink-6-ct-Pack-6-75-fl-oz-Bottles/19500174?fulfillmentIntent=Pickup,"Kool-Aid Bursts Grape Artificially Flavored Soft Drink, 6 ct Pack, 6.75 fl oz Bottles",Kool-Aid,1.24,6.75,16368343,41,C,3,3,3,4
Beverages,Juices,143134,https://www.walmart.com/ip/Welch-s-100-Grape-Juice-with-Calcium-Concord-Grape-64-fl-oz-Bottle/10804417?fulfillmentIntent=Pickup,"Welch's 100% Grape Juice with Calcium, Concord Grape, 64 fl oz Bottle",Welch's,4.82,64,16253034,41,C,4,14,4,7
Beverages,Juices,148475,https://www.walmart.com/ip/Ocean-Spray-Cranberry-Apple-Juice-Drink-101-4-fl-oz/10447904?fulfillmentIntent=Pickup,"Ocean Spray Cranberry Apple Juice Drink, 101.4 fl oz",Ocean Spray,4.66,101.4,16340002,41,C,5,15,5,7
Beverages,Juices,147458,https://www.walmart.com/ip/AriZona-Watermelon-Fruit-Juice-Cocktail-128-fl-oz/44981931?fulfillmentIntent=Pickup,"AriZona Watermelon Fruit Juice Cocktail, 128 fl oz",AriZona,3.48,128,16333606,41,C,2,18,8,7
Beverages,Juices,141346,https://www.walmart.com/ip/Kool-Aid-Jammers-Tropical-Punch-Zero-Sugar-Artificially-Flavored-Soft-Drink-10-ct-Box-6-fl-oz-Pouches/714408904?fulfillmentIntent=Pickup,"Kool-Aid Jammers Tropical Punch Zero Sugar Artificially Flavored Soft Drink, 10 ct Box, 6 fl oz Pouches",Kool-Aid,2.5,6,16220630,41,C,4,6,6,4
Beverages,Juices,138937,https://www.walmart.com/ip/V8-Original-100-Vegetable-Juice-5-5-FL-OZ-Can-Pack-of-8/893023912?fulfillmentIntent=Pickup,"V8 Original 100% Vegetable Juice, 5.5 FL OZ Can (Pack of 8)",V8,5.14,5.5,16176081,41,C,1,17,7,7
Beverages,Juices,140783,https://www.walmart.com/ip/Kool-Aid-Bursts-Grape-Artificially-Flavored-Soft-Drink-6-ct-Pack-6-75-fl-oz-Bottles/19500174?fulfillmentIntent=Pickup,"Kool-Aid Bursts Grape Artificially Flavored Soft Drink, 6 ct Pack, 6.75 fl oz Bottles",Kool-Aid,1.24,6.75,16217929,41,C,5,3,3,4
Beverages,Juices,143704,https://www.walmart.com/ip/Welch-s-Fruit-Punch-Juice-Drink-10-fl-oz-On-the-Go-Bottle-Pack-of-6/10452303?fulfillmentIntent=Pickup,"Welch's Fruit Punch Juice Drink, 10 fl oz On-the-Go Bottle (Pack of 6)",Welch's,3.78,10,16272806,41,C,4,4,4,7
Beverages,Juices,149258,https://www.walmart.com/ip/Ocean-Spray-100-Juice-Cranberry-10-Fl-Oz-6-Count/10447881?fulfillmentIntent=Pickup,"Ocean Spray 100% Juice, Cranberry, 10 Fl. Oz., 6 Count",Ocean Spray,4.98,10,16357764,41,C,2,18,8,7
Beverages,Juices,141323,https://www.walmart.com/ip/Ocean-Spray-Cranberry-Pomegranate-Juice-Drink-101-4-fl-oz/13908229?fulfillmentIntent=Pickup,"Ocean Spray Cranberry Pomegranate Juice Drink, 101.4 fl oz",Ocean Spray,4.66,101.4,16220567,41,C,5,3,3,7
Beverages,Juices,142765,https://www.walmart.com/ip/Juicy-Juice-100-Juice-Variety-Pack-32-Count-6-75-oz/46535237?fulfillmentIntent=Pickup&athbdg=L1600,"Juicy Juice 100% Juice Variety Pack, 32 Count, 6.75 oz",Juicy Juice,11.52,6.75,16252061,41,C,1,5,5,7
