DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Dairy & Eggs,Milk,35534,https://www.walmart.com/ip/Blue-Diamond-Almond-Breeze-Unsweetened-Original-Almond-Milk-Half-Gallon-64-fl-oz/23658427?fulfillmentIntent=Pickup,"Blue Diamond Almond Breeze Unsweetened Original Almond Milk, Half Gallon, 64 fl oz",Blue Diamond,3.27,64,16176414,46,F,3,15,5,7
Dairy & Eggs,Milk,38867,https://www.walmart.com/ip/Lactaid-100-Lactose-Free-Skim-Fat-Free-Milk-96-fl-oz/17056808?fulfillmentIntent=Pickup,"Lactaid 100% Lactose Free Skim Fat Free Milk, 96 fl oz",Lactaid,6.24,96,16354440,46,F,6,8,8,7
Dairy & Eggs,Milk,36814,https://www.walmart.com/ip/Nestle-Carnation-Evaporated-Milk-Vitamin-D-Added-17-fl-oz/468432372?fulfillmentIntent=Pickup,"Nestle Carnation Evaporated Milk, Vitamin D Added 17 fl oz",Carnation,2.78,17,16231760,46,F,5,15,5,7
Dairy & Eggs,Milk,37691,https://www.walmart.com/ip/Great-Value-2-Reduced-Fat-Milk-128-Fl-Oz/10450115?fulfillmentIntent=Pickup&athbdg=L1200,"Great Value 2% Reduced Fat Milk, 128 Fl Oz",Great Value,5.94,128,16282976,46,F,6,12,2,9
Dairy & Eggs,Milk,38816,https://www.walmart.com/ip/Marburger-Farm-Dairy-Cultured-Buttermilk-32-fl-oz/10824291?fulfillmentIntent=Pickup,"Marburger Farm Dairy Cultured Buttermilk, 32 fl oz",Marburger Farm Dairy,2.27,32,16354389,46,F,3,17,7,7
Dairy & Eggs,Milk,37343,https://www.walmart.com/ip/Great-Value-Organic-2-Reduced-Fat-Milk-Gallon-128-fl-oz/44390987?fulfillmentIntent=Pickup,"Great Value Organic 2% Reduced Fat Milk, Gallon, 128 fl oz",Great Value,5.98,128,16253598,46,F,6,4,4,7
Dairy & Eggs,Milk,38888,https://www.walmart.com/ip/Nestle-Carnation-Evaporated-Milk-Vitamin-D-Added-17-fl-oz/468432372?fulfillmentIntent=Pickup,"Nestle Carnation Evaporated Milk, Vitamin D Added 17 fl oz",Carnation,2.78,17,16354461,46,F,3,9,9,7
Dairy & Eggs,Milk,38918,https://www.walmart.com/ip/Stonyfield-Farm-2-Reduced-Fat-Organic-Chocolate-Milk-8-Fl-Oz-6-Ct/318726900?fulfillmentIntent=Pickup,"Stonyfield Farm 2% Reduced Fat Organic Chocolate Milk, 8 Fl Oz, 6 Ct",Stonyfield Farm,6.48,8,16354491,46,F,3,19,9,7
Dairy & Eggs,Milk,36388,https://www.walmart.com/ip/Mamita-s-Homemade-Style-Flavored-Ice-Coconut-Cream-4-Ices-16-FL-OZ/118495518?fulfillmentIntent=Pickup,"Mamita's Homemade Style Flavored Ice Coconut Cream, 4 Ices, 16 FL OZ",Mamita’s,3.72,16,16206916,46,F,5,9,9,7
Dairy & Eggs,Milk,35908,https://www.walmart.com/ip/Lactaid-100-Lactose-Free-1-Low-Fat-Milk-Half-Gallon-64-fl-oz/10801611?fulfillmentIntent=Pickup,"Lactaid 100% Lactose Free 1% Low Fat Milk, Half Gallon, 64 fl oz",Lactaid,4.0,64,16192216,46,F,5,9,9,7
Dairy & Eggs,Milk,38534,https://www.walmart.com/ip/Nestle-Carnation-Lowfat-2-Evaporated-Milk-Vitamins-A-and-D-Added-12-fl-oz/10804669?fulfillmentIntent=Pickup,"Nestle Carnation Lowfat 2% Evaporated Milk, Vitamins A and D Added 12 fl oz",Carnation,1.72,12,16330966,46,F,3,15,5,7
Dairy & Eggs,Milk,37059,https://www.walmart.com/ip/Lactaid-100-Lactose-Free-Whole-Vitamin-D-Milk-96-fl-oz/23619910?fulfillmentIntent=Pickup,"Lactaid 100% Lactose Free Whole Vitamin D Milk, 96 fl oz",Lactaid,6.24,96,16239932,46,F,4,20,10,7
Dairy & Eggs,Milk,36500,https://www.walmart.com/ip/Great-Value-Whole-Vitamin-D-Milk-Gallon-128-fl-oz/10450114?fulfillmentIntent=Pickup&athbdg=L1600,"Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",Great Value,3.94,128,16221228,46,F,3,1,1,9
Dairy & Eggs,Milk,35784,https://www.walmart.com/ip/Lindt-Classic-Recipe-Whole-Hazelnuts-Chocolate-1-2-oz/686808537?fulfillmentIntent=Pickup,"Lindt Classic Recipe Whole Hazelnuts Chocolate, 1.2 oz",Lindt & Sprungli,1.68,1.2,16188680,46,F,1,5,5,7
Dairy & Eggs,Milk,38699,https://www.walmart.com/ip/Nestle-Carnation-Evaporated-Milk-Vitamin-D-Added-5-fl-oz/10291864?fulfillmentIntent=Pickup,"Nestle Carnation Evaporated Milk, Vitamin D Added 5 fl oz",Carnation,1.08,5,16347991,46,F,6,20,10,7
