DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Dairy & Eggs,Yogurt,119035,https://www.walmart.com/ip/Chobani-Flip-Low-Fat-Greek-Yogurt-Chocolate-Haze-Craze-4-5-oz/42701882?fulfillmentIntent=Pickup,"Chobani Flip Low-Fat Greek Yogurt, Chocolate Haze Craze 4.5 oz",Chobani,1.38,4.5,16236216,15,C,1,1,1,7
Dairy & Eggs,Yogurt,116715,https://www.walmart.com/ip/Oikos-Pro-Strawberry-Yogurt-Cultured-Ultra-Filtered-Milk-5-3-Oz/516690066?fulfillmentIntent=Pickup,"Oikos Pro Strawberry Yogurt-Cultured Ultra-Filtered Milk, 5.3 Oz.",Oikos,1.34,5.3,16186577,15,C,3,1,1,7
Dairy & Eggs,Yogurt,121116,https://www.walmart.com/ip/Great-Value-Light-Strawberry-Blueberry-Nonfat-Yogurt-6-oz-12-count/46490636?fulfillmentIntent=Pickup,"Great Value Light Strawberry + Blueberry Nonfat Yogurt, 6 oz, 12 count",Great Value,5.33,6,16325056,15,C,6,2,2,8
Dairy & Eggs,Yogurt,117341,https://www.walmart.com/ip/Great-Value-Original-Vanilla-Lowfat-Yogurt-32-oz/10450127?fulfillmentIntent=Pickup&athbdg=L1200,"Great Value Original Vanilla Lowfat Yogurt, 32 oz",Great Value,2.36,32,16203886,15,C,5,7,7,8
Dairy & Eggs,Yogurt,121658,https://www.walmart.com/ip/Oikos-Blended-Strawberry-Greek-Nonfat-Yogurt-5-3-oz/755307075?fulfillmentIntent=Pickup,"Oikos Blended Strawberry Greek Nonfat Yogurt, 5.3 oz.",Oikos,1.06,5.3,16340413,15,C,2,4,4,7
Dairy & Eggs,Yogurt,122448,https://www.walmart.com/ip/Chobani-Non-Fat-Greek-Yogurt-Raspberry-on-the-Bottom-5-3-oz/21291510?fulfillmentIntent=Pickup,"Chobani Non-Fat Greek Yogurt, Raspberry on the Bottom 5.3 oz",Chobani,1.22,5.3,16359701,15,C,6,14,4,7
Dairy & Eggs,Yogurt,116306,https://www.walmart.com/ip/Yoplait-Go-Gurt-Low-Fat-Yogurt-Strawberry-Mixed-Berry-Variety-Pack-32-oz/148602296?fulfillmentIntent=Pickup&athbdg=L1300,"Yoplait Go-Gurt, Low Fat Yogurt, Strawberry & Mixed Berry Variety Pack, 32 oz",Go-GURT,4.97,32,16180914,15,C,2,12,2,8
Dairy & Eggs,Yogurt,119988,https://www.walmart.com/ip/Danimals-Strawberry-Explosion-Mixed-Berry-Variety-Pack-Smoothies-3-1-Oz-Bottles-12-Count/372904132?fulfillmentIntent=Pickup&athbdg=L1600,"Danimals Strawberry Explosion & Mixed Berry Variety Pack Smoothies, 3.1 Oz. Bottles, 12 Count",Danimals,5.37,3.1,16264606,15,C,6,14,4,7
Dairy & Eggs,Yogurt,116740,https://www.walmart.com/ip/Silk-Dark-Chocolate-Coconut-Almond-Milk-Yogurt-Alternative-5-3-Oz/423248812?fulfillmentIntent=Pickup,"Silk Dark Chocolate Coconut Almond Milk Yogurt Alternative, 5.3 Oz.",Silk,1.52,5.3,16186682,15,C,4,6,6,7
Dairy & Eggs,Yogurt,119710,https://www.walmart.com/ip/Chobani-with-Zero-Sugar-Sugar-Free-Greek-Yogurt-Strawberry-5-3-oz/764045591?fulfillmentIntent=Pickup,"Chobani with Zero Sugar, Sugar Free Greek Yogurt, Strawberry, 5.3 oz",Chobani,1.22,5.3,16255374,15,C,4,16,6,8
Dairy & Eggs,Yogurt,118864,https://www.walmart.com/ip/El-Viajero-Bio-Salud-Strawberry-Cultured-Dairy-Beverage-2-1-Fl-Oz-6-Ct/43285890?fulfillmentIntent=Pickup,"El Viajero Bio Salud Strawberry Cultured Dairy Beverage, 2.1 Fl Oz, 6 Ct",El Viajero,1.12,2.1,16233478,15,C,4,10,10,7
Dairy & Eggs,Yogurt,116410,https://www.walmart.com/ip/Noosa-Yoghurt-Whole-Milk-Yogurt-Lemon-8-oz/49511110?fulfillmentIntent=Pickup,Noosa Yoghurt Whole Milk Yogurt Lemon 8 oz,noosa,1.98,8,16181207,15,C,4,16,6,7
Dairy & Eggs,Yogurt,116183,https://www.walmart.com/ip/Clio-Strawberry-Greek-Yogurt-and-Granola-Parfait-Bar-1-94-oz-1-Ct/102243513?fulfillmentIntent=Pickup,"Clio Strawberry Greek Yogurt and Granola Parfait Bar, 1.94 oz, 1 Ct",Clio,1.98,1.94,16175922,15,C,5,9,9,7
Dairy & Eggs,Yogurt,120796,https://www.walmart.com/ip/Noosa-Yoghurt-Strawberry-And-Rhubarb-Finest-Yoghurt-4-oz-4-pk/54258479?fulfillmentIntent=Pickup,Noosa Yoghurt Strawberry And Rhubarb Finest Yoghurt 4 oz 4 pk,noosa,3.94,4,16302301,15,C,4,2,2,7
